,Participant,Comparison Hertz,3s-pre-ready,2s-pre-ready,1s-pre-ready,0th-time,at-ready,1s-post-ready,2s-post-ready,at-standard,1s-post-standard,2s-post-standard,3s-post-standard,at-comparison,1s-post-comparison,2s-post-comp,3s-post-comp,at-response,1s-post-response,2s-post-response,3s-post-response,4s-post-response,Response (Correct/Incorrect),Baseline
4_1,4,820,4.7147382470987065,4.303182211501393,4.484634911207944,,4.378282397788956,4.656382399696127,4.322995691830896,3.9731158999628784,3.8105545205341347,4.2818885966977716,4.173868740185673,4.291207118341332,4.334857118601576,4.033760914099121,3.6862394098459235,3.562787644089981,4.07290283017361,4.004484012634341,4.234158638153119,4.3351246402774155,Correct,4.508960229300049
4_2,4,820,3.806718001603731,3.335468114054082,3.3352379586075305,,3.4988201383270696,4.141099668825412,4.378863951364276,3.8339743783376736,3.9176165474775777,3.8900751070217865,3.889003630725542,4.042193563259728,3.9457401977324102,4.074583191470717,3.7631824778647616,3.593257972442891,3.7991873843043606,3.9804386912127496,4.0461929808580415,4.128921578181108,Correct,3.5710930578289064
4_3,4,820,,,,5.0723036848778085,5.0313935362391735,4.995805434792266,5.295901870381004,5.518337680333761,5.4132194929958946,5.319105896646076,5.220207604852048,5.24749220744688,5.528973447377699,5.318433246173702,5.004186336167394,5.313622109477479,5.684859707200993,5.598435871246025,5.331127269207123,5.415411870413862,Correct,5.0723036848778085
5_1,5,820,4.442151744514736,4.328324257581578,4.357746983389224,,4.411753413734482,4.435634361338164,4.329220937481792,4.265287097238921,4.308673844841027,4.442118582418731,4.325137738157346,4.622536975669398,4.648491205082876,3.9973647189520385,4.246794591143193,4.590902088187669,4.4183838941386595,4.542127971537965,4.476102184592825,4.4677276287317484,Correct,4.385238001048156
5_2,5,820,4.752983844895498,4.623593703253063,4.659768335823033,,4.854650440420952,4.652702012523708,4.548690445405407,4.1544164983925045,4.447114781955389,4.397275940977242,4.5467207337402,4.619849650870148,4.647277042429652,4.713089519948124,4.379276264179658,4.268270114064787,4.326419133008414,4.428893862599489,4.642710627719305,4.7011836652837244,Correct,4.68828877407428
5_3,5,820,4.010604322184176,4.033331152314926,4.040803271409157,,4.268030213368547,4.58812028800342,4.671562867717157,4.392888435789142,4.225967534911267,4.197794352042696,4.207841805851701,4.237655168599895,4.287185701407833,3.851026738297426,3.974657242442412,3.9218411334829337,4.203527818404186,4.16475022075328,4.146492080172373,4.057391714478241,Correct,4.02196773724955
6_1,6,820,3.371395519960435,3.4785075586919962,3.4127685771166356,,3.3693094199316587,3.400494256435212,2.990457963586109,3.274610757227075,3.1882525589721507,3.3066049915527422,3.2428596157940857,3.150387218129347,3.371084376492438,3.41986146880974,3.28511001420422,3.20636731684076,3.3402643601896465,3.3164598830000305,3.2753305178471246,3.0648316727923253,Correct,3.4249515393262158
6_2,6,820,3.1907287437842666,3.6719986331328145,3.658296977986906,,3.3269215760283344,3.3631651427293114,3.584668056525079,3.65510753276343,3.6099179967204846,3.2230728657083367,3.162128222260008,3.2590932496267513,3.362306886457748,3.116334189175828,3.1581771233392653,3.3984644542206244,3.0424528223299157,3.4657538344359793,3.2777052373695095,3.2513352016459383,Correct,3.4313636884585406
6_3,6,820,3.219414402051502,3.1436232927250565,3.074023418299399,,3.0469206780680516,2.916734043721025,3.1639406694075065,3.147559102541801,2.7932000064129725,3.0653630561525733,3.0954154479410736,3.050720285826167,3.137084384936379,2.868451300470357,2.95252727513215,2.9936366656810063,3.060441316974828,3.0765651195810277,3.0011641055858957,3.0703860878827522,Correct,3.181518847388279
7_1,7,820,4.338062657314508,4.383950040213626,4.462553997301962,,4.042546599258423,3.7421408041655586,4.098571609153259,3.961554382509019,4.215561963238788,4.28605997843466,4.481925376762648,4.4574273487449965,4.907783491295884,4.898953287924146,4.741152922359686,4.9281668149207825,5.112170251696252,5.003107294277683,5.001396442191997,4.9354840978550465,Correct,4.361006348764066
