,Participant,Comparison Hertz,3s-pre-ready,2s-pre-ready,1s-pre-ready,0th-time,at-ready,1s-post-ready,2s-post-ready,at-standard,1s-post-standard,2s-post-standard,3s-post-standard,at-comparison,1s-post-comparison,2s-post-comp,3s-post-comp,at-response,1s-post-response,2s-post-response,3s-post-response,4s-post-response,Response (Correct/Incorrect),Baseline
3_1,3,820,4.3985625426539885,4.240055148930462,4.24565783694489,,4.2097091892353244,3.9868274572881552,3.940534539662893,3.941218550883862,4.155592168919669,4.358782870836568,4.337472688849653,4.297161732758016,4.173873319960772,4.321739997431384,4.352850138908368,4.344991985876032,4.451148416203693,4.372488923328804,4.592285160323439,4.609861346566985,Correct,4.319308845792225
3_2,3,820,4.829238544996548,4.524043670747387,4.70930379626888,,4.5629290800588445,4.718937050224376,4.645413110525023,4.684397426910702,4.692459795750493,4.630874861715173,4.628152700082407,4.3955738079474065,4.4001263186195665,4.57451667961286,4.723636700617347,4.59592116954906,4.627697834548089,4.74839153678032,4.872601342023967,5.054423721944001,Incorrect,4.676641107871967
3_3,3,820,4.448191382957661,4.515705222333064,4.505467795653749,,4.335705527051374,4.370760081672831,4.343880118827949,4.263620307438668,4.3530964442051525,4.243630484389436,4.3001936613422584,4.238940483133306,4.116265182188811,4.228927945514267,4.3048640434430805,4.450625401328135,4.532492954337791,4.644314385132948,4.696496384431349,4.624243909422961,Correct,4.481948302645362
3_4,3,820,3.7426360849875278,3.655514625502261,3.59481791361773,,3.8944506381193196,3.713709086801708,3.8279099536650603,3.8989963887805916,4.054098647232178,4.138101561470097,4.270665773275352,4.317868995050197,4.048833712083164,4.043394763749845,4.076225296048898,4.140292138998809,3.9915273299782337,3.899977151593279,3.9411498262363076,3.871181641328282,Incorrect,3.6990753552448945
3_5,3,820,4.279293768378424,4.306910439474429,4.188480551858779,,4.245527791764031,4.0239223046704184,4.048172986118866,4.159384949319231,4.170792853040461,4.252000990124231,4.208245074981492,4.244140458927082,4.151121071004757,4.274097221949858,4.2781570606831405,4.190051309295874,4.309073590631357,4.345899180585885,4.513386122982889,4.411584997590189,Correct,4.293102103926426
4_1,4,820,2.7174220857606732,2.521176507486189,2.8561852533875687,,2.87782661646828,2.976134710350474,2.976691290451061,2.976691290451061,2.9964918383020156,3.0165634495796687,2.9842188034277166,2.9282935763774547,2.927829505675667,2.927750685517742,2.923083307865642,2.8700942088054133,2.0777712969357145,2.0906481405948463,2.0917427698990005,2.0778576305087593,Correct,2.6192992966234314
4_2,4,820,2.863942612251306,2.4072670425810037,2.219211900313751,,2.1454541198784582,1.6163534609147447,2.283839096359255,2.421837874326897,2.3238745102543055,2.629643946870893,2.4768203506793838,2.637048090547283,2.8195498307513986,2.97849987023052,2.835083074129798,2.447856128430385,2.770807315950448,2.7999711662190006,2.981489269411472,2.9841120803351173,Correct,2.635604827416155
4_3,4,820,3.2635048139347194,3.0758366959028764,3.071649990135099,,2.981201622558478,3.0417318077867987,3.115660947579681,2.639109731052128,2.7510076543004827,2.6158486149799365,2.677081077155026,2.750402047327773,2.5791282975544587,2.730066769495601,2.754603284510019,2.8062953544070877,2.9477711614666293,2.9945775971857373,3.1510847290619957,3.259180819525975,Correct,3.1696707549187977
4_4,4,820,3.2903291257606604,3.542229549061908,3.1855498818677983,,2.216399800465304,2.35687529570508,2.537555470307601,2.7754558986885867,2.915775906823056,3.0166510223673777,2.978572729179372,2.604054924871339,2.3605000606037363,2.3041694978593243,1.3875786537866617,2.3851686680421103,2.6627153571513045,2.839079630334509,3.0611500113486745,3.072993166845729,Correct,3.416279337411284
4_5,4,820,2.972409754910045,2.8732646108319844,2.9526913849960703,,2.8331492956513804,3.123673629355485,3.223242358083393,3.1062392556216576,3.113386549774736,3.1614733181064287,3.0148636087328007,2.8742152404585095,3.086031587136609,3.139014682076501,2.9305323375990433,2.923897164878206,3.063989149894922,3.2343606582021414,3.2494192173480365,3.2840972894961684,Correct,2.9228371828710147
5_1,5,820,6.017033087968514,5.849639320649128,5.664758622086904,,5.704956171803457,5.550606868035309,5.60940462287606,5.610278101412938,5.728077186200962,5.671818808074935,5.495068972409915,5.354489230347857,4.955744518547942,3.928905802207429,5.645487164631803,5.7962859195856336,5.692853353522869,5.47635789126443,5.695953532968429,5.796106953474786,Correct,5.933336204308821
