trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,text_6.started,text_6.stopped,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,key_resp_11.keys,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,text_8.started,text_8.stopped,text_4.started,text_4.stopped,button.started,button.stopped,button.numClicks,button.timesOn,button.timesOff,key_resp_12.keys,key_resp_12.rt,key_resp_12.started,key_resp_12.stopped,text_7.started,text_7.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,sound_31.started,sound_31.stopped,text_10.started,text_10.stopped,image.started,image.stopped,polygon_26.started,polygon_26.stopped,sound_26.started,sound_26.stopped,polygon_27.started,polygon_27.stopped,sound_27.started,sound_27.stopped,polygon_28.started,polygon_28.stopped,sound_28.started,sound_28.stopped,polygon_29.started,polygon_29.stopped,sound_29.started,sound_29.stopped,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,polygon_30.started,polygon_30.stopped,sound_30.started,sound_30.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon_31.started,polygon_31.stopped,polygon.started,polygon.stopped,sound_1.started,sound_1.stopped,polygon_3.started,polygon_3.stopped,sound_2.started,sound_2.stopped,polygon_4.started,polygon_4.stopped,sound_3.started,sound_3.stopped,polygon_2.started,polygon_2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,sound_4.started,sound_4.stopped,polygon_5.started,polygon_5.stopped,sound_5.started,sound_5.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,polygon_6.started,polygon_6.stopped,sound_6.started,sound_6.stopped,polygon_7.started,polygon_7.stopped,sound_7.started,sound_7.stopped,polygon_8.started,polygon_8.stopped,sound_8.started,sound_8.stopped,polygon_9.started,polygon_9.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,sound_9.started,sound_9.stopped,polygon_24.started,polygon_24.stopped,sound_24.started,sound_24.stopped,polygon_10.started,polygon_10.stopped,sound_10.started,sound_10.stopped,polygon_11.started,polygon_11.stopped,sound_11.started,sound_11.stopped,polygon_12.started,polygon_12.stopped,sound_12.started,sound_12.stopped,polygon_13.started,polygon_13.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,sound_13.started,sound_13.stopped,polygon_25.started,polygon_25.stopped,sound_25.started,sound_25.stopped,polygon_14.started,polygon_14.stopped,sound_14.started,sound_14.stopped,polygon_15.started,polygon_15.stopped,sound_15.started,sound_15.stopped,polygon_16.started,polygon_16.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,polygon_17.started,polygon_17.stopped,key_resp_6.keys,key_resp_6.corr,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon_18.started,polygon_18.stopped,sound_18.started,sound_18.stopped,polygon_19.started,polygon_19.stopped,sound_19.started,sound_19.stopped,polygon_20.started,polygon_20.stopped,sound_20.started,sound_20.stopped,polygon_21.started,polygon_21.stopped,sound_21.started,sound_21.stopped,polygon_22.started,polygon_22.stopped,sound_22.started,sound_22.stopped,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_23.started,polygon_23.stopped,sound_23.started,sound_23.stopped,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,188.91032726102276,None,188.91032726102276,None,0,,,space,7.530177180015016,189.8983629309805,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2022-05-17_13h16.46.950,Trial_Exp,2022.1.2,60.02147905595837,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.4517784609925,None,212.45524694799678,None,212.45524694799678,None,0,,,space,3.602421046991367,213.42212157597532,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2022-05-17_13h16.46.950,Trial_Exp,2022.1.2,60.02147905595837,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.04182260797825,None,space,55.2517073850031,217.04182260797825,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2022-05-17_13h16.46.950,Trial_Exp,2022.1.2,60.02147905595837,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.0418284100655,218.04186538397335,217.04182260797825,None,217.04182260797825,None,272.3243613700033,None,272.324160098104,None,277.31365954800276,None,277.32418481406637,None,281.32648471702123,None,281.325226496096,None,285.32666408101795,None,285.32905060606424,None,lshift,1,0.4318750969832763,285.32666408101795,None,285.77673366700765,None,285.7765853891091,286.77681471197866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2022-05-17_13h16.46.950,Trial_Exp,2022.1.2,60.02147905595837,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.7783661329886,None,292.7783915581007,None,297.77986972098006,None,297.7797961930686,None,301.7811490739696,None,301.7810151471116,None,305.78252445097314,None,305.78242497507597,None,rshift,1,0.4510096880258061,305.78252445097314,None,306.26579722901806,None,306.26577375806517,307.2659349599853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2022-05-17_13h16.46.950,Trial_Exp,2022.1.2,60.02147905595837,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.2676256530103,None,313.2673640491033,None,318.2688431770075,None,318.2689978911134,None,322.2705692530144,None,322.27027779608613,None,326.27161199599504,None,326.2714035810844,None,lshift,1,0.45991538400994614,326.27161199599504,None,326.7548779619974,None,326.75487460411966,327.7549181979848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2022-05-17_13h16.46.950,Trial_Exp,2022.1.2,60.02147905595837,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.74686721601756,None,333.75756171008686,None,338.75870286201825,None,338.75860678509923,None,342.759403293021,None,342.76455909608046,None,346.7613890109933,None,346.7608692540729,None,rshift,1,0.3571435429621488,346.7613890109933,None,347.1443396980176,None,347.1466077520803,348.16084773797775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2022-05-17_13h16.46.950,Trial_Exp,2022.1.2,60.02147905595837,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.1530553380144,None,space,0,10.308472015021835,354.1530553380144,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2022-05-17_13h16.46.950,Trial_Exp,2022.1.2,60.02147905595837,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.48215465899557,None,370.2263580589788,None,370.2320910364855,None,372.4764779380057,None,372.48420526853295,None,376.47785928996745,None,376.4855462395702,None,380.237861046975,None,rshift,1,0.43667435995303094,380.237861046975,None,380.2365238291153,None,380.9492413029657,None,380.9534983645775,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2022-05-17_13h16.46.950,Trial_Exp,2022.1.2,60.02147905595837,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390.20000861398876,None,390.2035557144321,None,394.4498613650212,None,394.4580306735355,None,398.4658966049901,None,398.4748309915652,None,402.20998541801237,None,lshift,1,0.3765397460083477,402.20998541801237,None,402.2098581561062,None,402.8530262869899,None,402.860001503583,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2022-05-17_13h16.46.950,Trial_Exp,2022.1.2,60.02147905595837,
