trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_6.started,text_6.stopped,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,key_resp_11.keys,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,text_8.started,text_8.stopped,text_4.started,text_4.stopped,button.started,button.stopped,button.numClicks,button.timesOn,button.timesOff,key_resp_12.keys,key_resp_12.rt,key_resp_12.started,key_resp_12.stopped,text_7.started,text_7.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,sound_31.started,sound_31.stopped,text_10.started,text_10.stopped,polygon_26.started,polygon_26.stopped,sound_26.started,sound_26.stopped,polygon_27.started,polygon_27.stopped,sound_27.started,sound_27.stopped,polygon_28.started,polygon_28.stopped,sound_28.started,sound_28.stopped,polygon_29.started,polygon_29.stopped,sound_29.started,sound_29.stopped,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,polygon_30.started,polygon_30.stopped,sound_30.started,sound_30.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon_31.started,polygon_31.stopped,polygon.started,polygon.stopped,sound_1.started,sound_1.stopped,polygon_3.started,polygon_3.stopped,sound_2.started,sound_2.stopped,polygon_4.started,polygon_4.stopped,sound_3.started,sound_3.stopped,polygon_2.started,polygon_2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,sound_4.started,sound_4.stopped,polygon_5.started,polygon_5.stopped,sound_5.started,sound_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,15.128221138998924,None,15.128221138998924,None,0,,,space,1.7462164490007126,16.080791367998245,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4343,001,2022-05-10_18h42.45.002,Trial_Exp,2022.1.2,59.99294039113001,
,,,,,,,,,,,,,,,,,,,17.84753094199914,None,32.85172006499852,None,32.85172006499852,None,0,,,space,1.1522465819998615,33.82075176199942,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4343,001,2022-05-10_18h42.45.002,Trial_Exp,2022.1.2,59.99294039113001,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.00401655499991,None,space,2.7969932309988508,35.00401655499991,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4343,001,2022-05-10_18h42.45.002,Trial_Exp,2022.1.2,59.99294039113001,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.003903777399316,36.00447001499924,35.00401655499991,None,37.82510810199892,None,37.82120124739849,None,42.821795967998696,None,42.822010572398355,None,46.822268404999704,None,46.8223838173988,None,50.823787501998595,None,50.82374822639831,None,rshift,0,40.02021039799911,50.823787501998595,None,90.86850121499992,None,90.86841979139972,91.8679603189994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4343,001,2022-05-10_18h42.45.002,Trial_Exp,2022.1.2,59.99294039113001,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.87181566199979,None,97.87135631239907,None,102.87176554199868,None,102.87165525339951,None,106.87300425299873,None,106.87362711940004,None,110.87433237499863,None,110.87421220539981,None,rshift,1,5.429661939999278,110.87433237499863,None,116.32586919200003,None,116.32595168239895,117.31339753099928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4343,001,2022-05-10_18h42.45.002,Trial_Exp,2022.1.2,59.99294039113001,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.32831339499899,None,123.32827017039999,None,128.32970614499936,None,128.3298280383995,None,132.320022504,None,132.32959319639923,None,136.3319874109984,None,136.3316697603994,None,rshift,0,8.241078113000185,136.3319874109984,None,144.60086311699888,None,144.60194642139942,145.60093421199963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4343,001,2022-05-10_18h42.45.002,Trial_Exp,2022.1.2,59.99294039113001,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.60261266299858,None,151.6031621184,None,156.60454158899847,None,156.60522448239936,None,160.6050646979984,None,160.60530943140003,None,164.6064987459995,None,164.60650564839926,None,rshift,1,14.064500284999667,164.6064987459995,None,178.69443422599943,None,178.69405953039933,179.69429930499973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4343,001,2022-05-10_18h42.45.002,Trial_Exp,2022.1.2,59.99294039113001,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.70234015299866,None,space,0,11.142660268000327,185.70234015299866,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,4343,001,2022-05-10_18h42.45.002,Trial_Exp,2022.1.2,59.99294039113001,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.86553050099974,None,203.3623290129999,None,203.36823066539802,None,210.36092861299767,None,210.37154608539714,None,214.3669469790002,None,214.37660866939842,None,217.38845522299744,None,rshift,1,4.370540593001351,217.38845522299744,None,217.38843656140017,None,222.78049377299976,None,222.7896377553996,None,4343,001,2022-05-10_18h42.45.002,Trial_Exp,2022.1.2,59.99294039113001,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.3167376700003,None,231.32595712119874,None,236.31605426999886,None,236.32722874139728,None,240.31875055199998,None,240.32850845639842,None,243.32935828599875,None,rshift,0,4.7446449029994255,243.32935828599875,None,243.32940775539902,None,249.09065481699872,None,249.0974000373979,None,4343,001,2022-05-10_18h42.45.002,Trial_Exp,2022.1.2,59.99294039113001,
