trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_6.started,text_6.stopped,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,key_resp_11.keys,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,text_8.started,text_8.stopped,text_4.started,text_4.stopped,button.started,button.stopped,button.numClicks,button.timesOn,button.timesOff,key_resp_12.keys,key_resp_12.rt,key_resp_12.started,key_resp_12.stopped,text_7.started,text_7.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,sound_31.started,sound_31.stopped,text_10.started,text_10.stopped,image.started,image.stopped,polygon_26.started,polygon_26.stopped,sound_26.started,sound_26.stopped,polygon_27.started,polygon_27.stopped,sound_27.started,sound_27.stopped,polygon_28.started,polygon_28.stopped,sound_28.started,sound_28.stopped,polygon_29.started,polygon_29.stopped,sound_29.started,sound_29.stopped,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,polygon_30.started,polygon_30.stopped,sound_30.started,sound_30.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon_31.started,polygon_31.stopped,polygon.started,polygon.stopped,sound_1.started,sound_1.stopped,polygon_3.started,polygon_3.stopped,sound_2.started,sound_2.stopped,polygon_4.started,polygon_4.stopped,sound_3.started,sound_3.stopped,polygon_2.started,polygon_2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,sound_4.started,sound_4.stopped,polygon_5.started,polygon_5.stopped,sound_5.started,sound_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,14.46800611296203,None,14.46800611296203,None,0,,,space,2.946879501105286,16.459454869967885,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,findmefortrial,001,2022-10-25_18h27.44.954,Trial_Exp,2022.1.2,59.96880446510482,
,,,,,,,,,,,,,,,,,,,19.429655082989484,None,34.431583537952974,None,34.431583537952974,None,0,,,space,10.888263306114823,36.398469192907214,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,findmefortrial,001,2022-10-25_18h27.44.954,Trial_Exp,2022.1.2,59.96880446510482,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.318087223917246,None,space,16.055757979047485,47.318087223917246,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,findmefortrial,001,2022-10-25_18h27.44.954,Trial_Exp,2022.1.2,59.96880446510482,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.31821317364229,48.318244627909735,47.318087223917246,None,47.318087223917246,None,63.40591907291673,None,63.40592844061321,64.40665533498395,68.40725162695162,None,68.4072289356147,None,72.40862335299607,None,72.40856113469927,None,76.40991210192442,None,76.4098647436942,77.41002318891697,rshift,0,7.852328906999901,76.40991210192442,None,84.29496692796238,None,84.29515466162702,85.29582812800072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,findmefortrial,001,2022-10-25_18h27.44.954,Trial_Exp,2022.1.2,59.96880446510482,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.29745551198721,None,91.2974448096822,92.29753981996328,96.29898713389412,None,96.29901341068326,None,100.30018735199701,None,100.3002799316193,None,104.30057462293189,None,104.30068473365391,105.30159471195657,rshift,1,2.88186939409934,104.30057462293189,None,107.20177502790466,None,107.20195403461112,108.20196779095568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,findmefortrial,001,2022-10-25_18h27.44.954,Trial_Exp,2022.1.2,59.96880446510482,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.20372222189326,None,114.20362543266965,115.20452852500603,119.20501052599866,None,119.20502313364996,None,123.20638504589442,None,123.20628616166069,None,127.20758122997358,None,127.207491435681,128.20765883591957,rshift,0,11.951499357121065,127.20758122997358,None,139.1774836059194,None,139.1774476106395,140.17832600791007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,findmefortrial,001,2022-10-25_18h27.44.954,Trial_Exp,2022.1.2,59.96880446510482,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.1798568799859,None,146.1798610896687,147.17996222898364,151.18116329296026,None,151.18132620059185,None,155.18256023991853,None,155.18265488963806,None,159.1831665938953,None,159.18316621262346,160.18392853392288,rshift,1,3.2710268010850996,159.1831665938953,None,162.4842436289182,None,162.4843170306296,163.484391786973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,findmefortrial,001,2022-10-25_18h27.44.954,Trial_Exp,2022.1.2,59.96880446510482,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.49216640391387,None,space,0,4.3700931371422485,169.49216640391387,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,findmefortrial,001,2022-10-25_18h27.44.954,Trial_Exp,2022.1.2,59.96880446510482,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.3833107079845,None,180.3784862390021,None,180.38835359456715,181.389835387934,185.3797800129978,None,185.38958843249128,None,189.38206586393062,None,189.39176113052525,None,192.3927671799902,None,lshift,0,6.277402601088397,192.3927671799902,None,192.39273511966456,193.39297035697382,199.70124536799267,None,199.7112980952719,None,findmefortrial,001,2022-10-25_18h27.44.954,Trial_Exp,2022.1.2,59.96880446510482,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.7033975109225,None,203.71253543054917,204.71355469489936,206.7443170429906,None,206.75490509752416,None,210.75631348392926,None,210.7650631065364,None,213.76544243795797,None,rshift,0,5.98436044016853,213.76544243795797,None,213.76534523359732,214.76646100892685,220.7593478509225,None,220.76804504356113,None,findmefortrial,001,2022-10-25_18h27.44.954,Trial_Exp,2022.1.2,59.96880446510482,
