trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_6.started,text_6.stopped,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,key_resp_11.keys,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,text_8.started,text_8.stopped,text_4.started,text_4.stopped,button.started,button.stopped,button.numClicks,button.timesOn,button.timesOff,key_resp_12.keys,key_resp_12.rt,key_resp_12.started,key_resp_12.stopped,text_7.started,text_7.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,sound_31.started,sound_31.stopped,text_10.started,text_10.stopped,polygon_26.started,polygon_26.stopped,sound_26.started,sound_26.stopped,polygon_27.started,polygon_27.stopped,sound_27.started,sound_27.stopped,polygon_28.started,polygon_28.stopped,sound_28.started,sound_28.stopped,polygon_29.started,polygon_29.stopped,sound_29.started,sound_29.stopped,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,polygon_30.started,polygon_30.stopped,sound_30.started,sound_30.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon_31.started,polygon_31.stopped,polygon.started,polygon.stopped,sound_1.started,sound_1.stopped,polygon_3.started,polygon_3.stopped,sound_2.started,sound_2.stopped,polygon_4.started,polygon_4.stopped,sound_3.started,sound_3.stopped,polygon_2.started,polygon_2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,sound_4.started,sound_4.stopped,polygon_5.started,polygon_5.stopped,sound_5.started,sound_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,16.38890799300134,None,16.38890799300134,None,0,,,space,3.3988211789983325,17.367416181001317,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,timingtest,001,2022-05-10_19h01.37.394,Trial_Exp,2022.1.2,60.02100927402227,
,,,,,,,,,,,,,,,,,,,20.784087088999513,None,35.788558419000765,None,35.788558419000765,None,0,,,space,10.247996308000438,36.75526323300073,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,timingtest,001,2022-05-10_19h01.37.394,Trial_Exp,2022.1.2,60.02100927402227,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0252347750029,None,space,2.7060185779992025,47.0252347750029,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,timingtest,001,2022-05-10_19h01.37.394,Trial_Exp,2022.1.2,60.02100927402227,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.02558072220054,48.025718717002746,47.0252347750029,None,49.75930973100185,None,49.759489012200355,None,54.76063354800135,None,54.760741102202154,None,58.76211592800246,None,58.7619454692016,None,62.76325578000251,None,62.763342100201406,None,rshift,0,19.54498302900174,62.76325578000251,None,82.33491002899973,None,82.3350749032019,83.33680665400243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,timingtest,001,2022-05-10_19h01.37.394,Trial_Exp,2022.1.2,60.02100927402227,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.33725865200176,None,89.33723453320127,None,94.33858132800015,None,94.33892495820183,None,98.34004950400049,None,98.3400317462023,None,102.34046488100284,None,102.34055741020202,None,rshift,1,2.4047823209984927,102.34046488100284,None,104.77501735500118,None,104.77544059620269,105.77508804700119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,timingtest,001,2022-05-10_19h01.37.394,Trial_Exp,2022.1.2,60.02100927402227,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.77674468500118,None,111.77665409420152,None,116.77810381600284,None,116.77809298720095,None,120.77947254200262,None,120.77953785420178,None,124.78071520800222,None,124.78072934720186,None,lshift,1,4.381527986999572,124.78071520800222,None,129.18427930500184,None,129.18273341619934,130.18388299900107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,timingtest,001,2022-05-10_19h01.37.394,Trial_Exp,2022.1.2,60.02100927402227,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.1837733200009,None,136.18396056920247,None,141.18502506699951,None,141.18508313420026,None,145.1863640920019,None,145.1865258521997,None,149.18780382100158,None,149.18788142419945,None,rshift,1,0.5894474189990433,149.18780382100158,None,149.8045779910026,None,149.80453441920181,150.80477645400242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,timingtest,001,2022-05-10_19h01.37.394,Trial_Exp,2022.1.2,60.02100927402227,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.8146322749999,None,space,0,8.19161322600121,156.8146322749999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,timingtest,001,2022-05-10_19h01.37.394,Trial_Exp,2022.1.2,60.02100927402227,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.02561377800157,None,170.77304558200194,None,170.77755871020273,None,175.01888216999942,None,175.02842871920294,None,179.02114127499954,None,179.0298624002011,None,182.78091723400212,None,rshift,1,10.191323842998827,182.78091723400212,None,182.78092267720277,None,193.24381734500275,None,193.25157454920046,None,timingtest,001,2022-05-10_19h01.37.394,Trial_Exp,2022.1.2,60.02100927402227,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.50156562700067,None,201.50315052820443,None,205.74345347800045,None,205.75392421620055,None,209.74542499900053,None,209.75525117920043,None,213.50620573299966,None,rshift,0,5.686040765001962,213.50620573299966,None,213.50669027220138,None,219.46846635100155,None,219.47461412019985,None,timingtest,001,2022-05-10_19h01.37.394,Trial_Exp,2022.1.2,60.02100927402227,
