trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text_6.started,text_6.stopped,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,key_resp_11.keys,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,text_8.started,text_8.stopped,text_4.started,text_4.stopped,button.started,button.stopped,button.numClicks,button.timesOn,button.timesOff,key_resp_12.keys,key_resp_12.rt,key_resp_12.started,key_resp_12.stopped,text_7.started,text_7.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,sound_31.started,sound_31.stopped,text_10.started,text_10.stopped,polygon_26.started,polygon_26.stopped,sound_26.started,sound_26.stopped,polygon_27.started,polygon_27.stopped,sound_27.started,sound_27.stopped,polygon_28.started,polygon_28.stopped,sound_28.started,sound_28.stopped,polygon_29.started,polygon_29.stopped,sound_29.started,sound_29.stopped,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,polygon_30.started,polygon_30.stopped,sound_30.started,sound_30.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon_31.started,polygon_31.stopped,polygon.started,polygon.stopped,sound_1.started,sound_1.stopped,polygon_3.started,polygon_3.stopped,sound_2.started,sound_2.stopped,polygon_4.started,polygon_4.stopped,sound_3.started,sound_3.stopped,polygon_2.started,polygon_2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,sound_4.started,sound_4.stopped,polygon_5.started,polygon_5.stopped,sound_5.started,sound_5.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,polygon_6.started,polygon_6.stopped,sound_6.started,sound_6.stopped,polygon_7.started,polygon_7.stopped,sound_7.started,sound_7.stopped,polygon_8.started,polygon_8.stopped,sound_8.started,sound_8.stopped,polygon_9.started,polygon_9.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,sound_9.started,sound_9.stopped,polygon_24.started,polygon_24.stopped,sound_24.started,sound_24.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,14.711730803000137,None,14.711730803000137,None,0,,,space,4.048078176999297,15.691414984999938,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trial22,001,2022-05-10_15h58.06.513,Trial_Exp,2022.1.2,60.52492053081401,
,,,,,,,,,,,,,,,,,,,,,,,19.7594592989999,None,34.76381648900042,None,34.76381648900042,None,0,,,space,1.929976033999992,35.73051509900051,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trial22,001,2022-05-10_15h58.06.513,Trial_Exp,2022.1.2,60.52492053081401,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.68083599200054,None,space,4.346646693000366,37.68083599200054,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trial22,001,2022-05-10_15h58.06.513,Trial_Exp,2022.1.2,60.52492053081401,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.680493146500524,38.680883601999994,37.68083599200054,None,42.04882428700057,None,42.048512821500665,None,47.05030669200005,None,47.05006514850011,None,51.05157530199995,None,51.051341235500516,None,55.05283875800069,None,55.052506827500295,None,lshift,1,4.070641221000187,55.05283875800069,None,59.15350259100069,None,59.153287936500604,60.15457618200071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trial22,001,2022-05-10_15h58.06.513,Trial_Exp,2022.1.2,60.52492053081401,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.15592551600002,None,66.15568290250049,None,71.15744582700063,None,71.15714861550005,None,75.15874441699998,None,75.15838879849998,None,79.15920015300071,None,79.15890287550083,None,rshift,1,1.0722885770001085,79.15920015300071,None,80.26021421800033,None,80.25992282150055,81.26040482200005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trial22,001,2022-05-10_15h58.06.513,Trial_Exp,2022.1.2,60.52492053081401,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.26186531100029,None,87.26153140950028,None,92.26323818700075,None,92.26306160750046,None,96.26461031800045,None,96.2643697505002,None,100.26589262800007,None,100.26568912950025,None,lshift,1,1.0025979799993365,100.26589262800007,None,101.29939038200064,None,101.29908186650046,102.29949631799991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trial22,001,2022-05-10_15h58.06.513,Trial_Exp,2022.1.2,60.52492053081401,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.3011426460007,None,108.30084951450063,None,113.30251293299989,None,113.30221994850054,None,117.30377783600034,None,117.30356987950036,None,121.30512648900003,None,121.30484358850045,None,lshift,0,2.2283566119995157,121.30512648900003,None,123.55567373500071,None,123.55521449450062,124.55641599200044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trial22,001,2022-05-10_15h58.06.513,Trial_Exp,2022.1.2,60.52492053081401,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.56343647300037,None,space,0,6.741049586999907,130.56343647300037,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trial22,001,2022-05-10_15h58.06.513,Trial_Exp,2022.1.2,60.52492053081401,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.8186981810004,None,143.81775797000046,None,143.827519800005,None,148.81897539300007,None,148.8290859820048,None,152.8201951410001,None,152.83022520300472,None,155.83196140000018,None,lshift,0,3.292523923000772,155.83196140000018,None,155.83167956150027,None,160.14197546000014,None,160.14883472700456,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trial22,001,2022-05-10_15h58.06.513,Trial_Exp,2022.1.2,60.52492053081401,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.1413134630002,None,167.15143539500457,None,171.14309313000012,None,171.15258053100513,None,175.14393965700037,None,175.1530283030046,None,178.15442590100065,None,lshift,0,1.8250650380005027,178.15442590100065,None,178.1542888065007,None,180.99830912200014,None,181.00613866300444,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trial22,001,2022-05-10_15h58.06.513,Trial_Exp,2022.1.2,60.52492053081401,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.99840455200047,None,189.00724479700455,None,194.99832592200073,None,195.00886118700453,None,199.00055028600036,None,199.0099653900046,None,202.01150938499995,None,rshift,0,2.182970634999947,202.01150938499995,None,202.01136712350052,None,205.2021530760003,None,205.211713777005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trial22,001,2022-05-10_15h58.06.513,Trial_Exp,2022.1.2,60.52492053081401,
